iter	Passed	Remaining
832	17489509	3506300
833	17493612	3481942
834	17497342	3457558
835	17501329	3433275
836	17505354	3409047
837	17509126	3384819
838	17513414	3360738
839	17517456	3336658
840	17521549	3312635
841	17525594	3288650
842	17528822	3264561
843	17533306	3240753
844	17537209	3216884
845	17541476	3193129
846	17544831	3169255
847	17548988	3145573
848	17553586	3122015
849	17557246	3098337
850	17562343	3074957
851	17565931	3051358
852	17570377	3027954
853	17574583	3004554
854	17578840	2981206
855	17582887	2957868
856	17586766	2934547
857	17591032	2911336
858	17595366	2888180
859	17599122	2864973
860	17603470	2841907
861	17607451	2818826
862	17610950	2795712
863	17614262	2772615
864	17618682	2749736
865	17622415	2726794
866	17626634	2703970
867	17630333	2681110
868	17633894	2658274
869	17637250	2635451
870	17641964	2612874
871	17646294	2590281
872	17649403	2567553
873	17653450	2545005
874	17657966	2522566
875	17661681	2500055
876	17665653	2477623
877	17669501	2455215
878	17673765	2432907
879	17677855	2410616
880	17681416	2388295
881	17685465	2366082
882	17690089	2343986
883	17693929	2321827
884	17697854	2299721
885	17701824	2277661
886	17705883	2255653
887	17709841	2233673
888	17714616	2211836
889	17718590	2189938
890	17722536	2168076
891	17726894	2146305
892	17730782	2124517
893	17735339	2102847
894	17739417	2081160
895	17743533	2059517
896	17747479	2037893
897	17752088	2016384
898	17755737	1994804
899	17759853	1973317
900	17764324	1951906
901	17768561	1930508
902	17772857	1909155
903	17777555	1887882
904	17781618	1866578
905	17786125	1845359
906	17790216	1824134
907	17793655	1802881
908	17797531	1781711
909	17801485	1760586
910	17805366	1739492
911	17809160	1718427
912	17812600	1697367
913	17816838	1676420
914	17821393	1655539
915	17825571	1634659
916	17829644	1613806
917	17833621	1592981
918	17837211	1572159
919	17841542	1551438
920	17846420	1530800
921	17849971	1510084
922	17854415	1489479
923	17857867	1468828
924	17861932	1448264
925	17866470	1427774
926	17870195	1407253
927	17874923	1386847
928	17879398	1366455
929	17882878	1346023
930	17886701	1325652
931	17890959	1305349
932	17895570	1285105
933	17900247	1264899
934	17902902	1244586
935	17907849	1224468
936	17912043	1204331
937	17916181	1184225
938	17920635	1164173
939	17924309	1144104
940	17928917	1124129
941	17932835	1104144
942	17936713	1084191
943	17941205	1064308
944	17945675	1044457
945	17949209	1024584
946	17954115	1004823
947	17957495	985010
948	17961981	965290
949	17966504	945605
950	17970413	925920
951	17974505	906277
952	17978604	886667
953	17983025	867106
954	17986721	847541
955	17990474	828013
956	17994767	808542
957	17998422	789074
958	18002891	769675
959	18006166	750256
960	18011634	730961
961	18015431	711628
962	18019027	692319
963	18023384	673072
964	18027455	653845
965	18031893	634662
966	18036152	615504
967	18040411	596377
968	18044503	577275
969	18048260	558193
970	18052982	539172
971	18056934	520158
972	18060473	501164
973	18065074	482229
974	18069233	463313
975	18072858	444414
976	18077092	425561
977	18080426	406717
978	18084760	387926
979	18088348	369149
980	18093199	350428
981	18096455	331706
982	18101382	313045
983	18105788	294403
984	18109072	275772
985	18113471	257189
986	18117311	238627
987	18121157	220095
988	18125002	201592
989	18129339	183124
990	18133663	164685
991	18137575	146270
992	18141632	127886
993	18145817	109532
994	18149175	91201
995	18153276	72904
996	18157664	54636
997	18162304	36397
998	18165386	18183
999	18169165	0
